Index,SYGEU.JO.Open,SYGEU.JO.High,SYGEU.JO.Low,SYGEU.JO.Close,SYGEU.JO.Volume,SYGEU.JO.Adjusted
2024-06-25,9723,9784,9677,9732,7241,9730.4853515625
2024-06-26,9919,9919,9650,9734,10676,9732.4853515625
2024-06-27,9732,9886,9732,9854,7830,9852.466796875
2024-06-28,9725,9752,9621,9722,59447,9720.4873046875
2024-07-01,9741,9849,9689,9782,17307,9780.4775390625
2024-07-02,9882,9939,9752,9918,26612,9916.45703125
2024-07-03,10000,10059,9975,9955,13650,9953.451171875
2024-07-04,10003,10083,9995,9965,9031,9963.44921875
2024-07-05,9995,10059,9935,9961,21926,9959.4501953125
2024-07-08,9930,10057,9929,9910,35293,9908.4580078125
2024-07-09,9848,9889,9761,9762,13287,9760.48046875
2024-07-10,9636,9716,9595,9692,22955,9690.4931640625
2024-07-11,9728,9791,9700,9740,85264,9738.486328125
2024-07-12,9711,9854,9711,9877,13509,9875.46484375
2024-07-15,9892,9979,9832,9889,26860,9887.462890625
2024-07-16,9875,9875,9726,9728,24700,9726.48828125
2024-07-17,9728,9773,9659,9754,16298,9752.484375
2024-07-18,9720,9778,9648,9667,7380,9665.498046875
2024-07-19,9670,9717,9602,9624,4822,9622.5048828125
2024-07-22,9688,9763,9651,9744,18609,9742.4853515625
2024-07-23,9765,9919,9762,9785,7927,9783.4794921875
2024-07-24,9766,9766,9652,9678,20086,9676.4970703125
2024-07-25,9630,9640,9521,9572,69409,9570.5126953125
2024-07-26,9566,9671,9533,9659,34104,9657.5
2024-07-29,9660,9709,9619,9630,12930,9628.50390625
2024-07-30,9576,9674,9575,9635,9309,9633.5029296875
2024-07-31,9691,9691,9605,9617,25228,9615.505859375
2024-08-01,9552,9555,9350,9329,33123,9327.55078125
2024-08-02,9300,9316,9200,9221,16368,9219.5673828125
2024-08-05,9200,9278,9038,9242,41429,9240.564453125
2024-08-06,9334,9344,9184,9276,10467,9274.55859375
