Index,VOO.Open,VOO.High,VOO.Low,VOO.Close,VOO.Volume,VOO.Adjusted
2016-11-08,195.309997558594,197.179992675781,195.020004272461,196.580001831055,3055900,169.881851196289
2016-11-09,194.940002441406,199.339996337891,194.919998168945,198.679992675781,6119100,171.69660949707
2016-11-10,199.529998779297,200.440002441406,197.610000610352,199.139999389648,5126400,172.094192504883
2016-11-11,198.419998168945,198.960006713867,197.699996948242,198.770004272461,1954200,171.7744140625
2016-11-14,199.300003051758,199.490005493164,198.059997558594,198.800003051758,2651000,171.800354003906
2016-11-15,199.289993286133,200.419998168945,199.070007324219,200.410003662109,2532400,173.191696166992
2016-11-16,199.779998779297,200.289993286133,199.649993896484,200.070007324219,1195000,172.897918701172
2016-11-17,200.210006713867,201.130004882812,200.119995117188,201.020004272461,1178200,173.718841552734
2016-11-18,201.160003662109,201.320007324219,200.440002441406,200.660003662109,1668300,173.407775878906
2016-11-21,201.25,202.179992675781,201.110000610352,202.139999389648,2641300,174.686706542969
2016-11-22,202.580001831055,202.729995727539,201.770004272461,202.509994506836,2773400,175.006469726562
2016-11-23,202.139999389648,202.710006713867,201.770004272461,202.690002441406,1466300,175.162048339844
2016-11-25,203.080001831055,203.5,202.960006713867,203.5,1843100,175.861999511719
2016-11-28,203.070007324219,203.369995117188,202.350006103516,202.539993286133,2193000,175.032363891602
2016-11-29,202.509994506836,203.350006103516,202.169998168945,202.860000610352,1689600,175.308944702148
2016-11-30,203.529998779297,203.690002441406,202.309997558594,202.399993896484,2360100,174.911407470703
2016-12-01,202.679992675781,202.710006713867,201.240005493164,201.610000610352,3284100,174.228698730469
2016-12-02,201.699996948242,202.229995727539,201.350006103516,201.75,2118900,174.349670410156
2016-12-05,202.639999389648,203.300003051758,202.419998168945,202.910003662109,2070500,175.352111816406
2016-12-06,203.169998168945,203.630004882812,202.639999389648,203.619995117188,2413300,175.965728759766
2016-12-07,203.449996948242,206.320007324219,203.300003051758,206.199996948242,2253900,178.1953125
2016-12-08,206.25,207.270004272461,205.949996948242,206.740005493164,2983000,178.661987304688
2016-12-09,207.020004272461,208.029998779297,206.979995727539,208,1972000,179.750900268555
2016-12-12,207.919998168945,208.419998168945,207.339996337891,207.770004272461,2419600,179.55207824707
2016-12-13,208.529998779297,209.699996948242,208.470001220703,209.190002441406,2670200,180.779235839844
2016-12-14,208.839996337891,209.589996337891,206.979995727539,207.460006713867,4232900,179.284210205078
2016-12-15,207.720001220703,209.229995727539,207.580001831055,208.229995727539,2812500,179.949630737305
2016-12-16,208.820007324219,208.839996337891,207.550003051758,207.869995117188,3074000,179.638488769531
2016-12-19,208.100006103516,208.800003051758,207.929992675781,208.339996337891,2042000,180.044677734375
2016-12-20,208.919998168945,209.309997558594,208.679992675781,209.139999389648,3195300,180.736038208008
2016-12-21,209.059997558594,209.199996948242,208.570007324219,208.570007324219,1546600,180.243438720703
2016-12-22,207.160003662109,207.240005493164,206.5,207.009994506836,1863700,180.013916015625
2016-12-23,206.979995727539,207.220001220703,206.770004272461,207.190002441406,1278900,180.17041015625
2016-12-27,207.479995727539,208.149993896484,207.479995727539,207.699996948242,1818500,180.613906860352
2016-12-28,208,208.070007324219,205.910003662109,206.059997558594,2228000,179.187759399414
2016-12-29,206.100006103516,206.470001220703,205.509994506836,206.020004272461,1772700,179.152969360352
2016-12-30,206.369995117188,206.429992675781,204.509994506836,205.309997558594,4251000,178.535583496094
2017-01-03,206.679992675781,207.330001831055,205.559997558594,206.740005493164,4750200,179.779098510742
2017-01-04,207.199996948242,208.179992675781,207.119995117188,207.960006713867,4622400,180.839981079102
2017-01-05,207.75,208.039993286133,207.009994506836,207.800003051758,2772100,180.700866699219
2017-01-06,207.990005493164,209.089996337891,207.399993896484,208.610000610352,2194600,181.405242919922
2017-01-09,208.339996337891,208.479995727539,207.889999389648,207.949996948242,1705200,180.831298828125
2017-01-10,207.899993896484,208.820007324219,207.509994506836,207.919998168945,2189400,180.80517578125
2017-01-11,207.839996337891,208.509994506836,207.119995117188,208.509994506836,5677600,181.318252563477
2017-01-12,207.970001220703,208.190002441406,206.539993286133,208.050003051758,3244600,180.918304443359
2017-01-13,208.179992675781,208.779998779297,208.130004882812,208.460006713867,2822700,181.274795532227
2017-01-17,207.789993286133,208.210006713867,207.330001831055,207.720001220703,1690000,180.631301879883
2017-01-18,208.009994506836,208.220001220703,207.419998168945,208.160003662109,1980500,181.013900756836
2017-01-19,208.270004272461,208.429992675781,206.970001220703,207.460006713867,1666900,180.405197143555
2017-01-20,208.139999389648,208.699996948242,207.559997558594,208.130004882812,2082500,180.987823486328
2017-01-23,207.839996337891,208.210006713867,206.830001831055,207.649993896484,4586600,180.570419311523
2017-01-24,207.860000610352,209.399993896484,207.75,208.970001220703,1940100,181.718276977539
2017-01-25,209.979995727539,210.770004272461,209.789993286133,210.710006713867,2873000,183.231369018555
2017-01-26,210.649993896484,210.899993896484,210.25,210.550003051758,2485100,183.092239379883
2017-01-27,210.649993896484,210.759994506836,210.029998779297,210.25,1428200,182.831359863281
2017-01-30,209.479995727539,209.520004272461,207.880004882812,208.979995727539,2782300,181.726928710938
2017-01-31,208.339996337891,208.970001220703,207.789993286133,208.970001220703,3787100,181.718276977539
2017-02-01,209.619995117188,209.860000610352,208.369995117188,209,2698800,181.744384765625
2017-02-02,208.589996337891,209.399993896484,208.229995727539,209.089996337891,1661300,181.822631835938
2017-02-03,210.080001831055,210.729995727539,209.770004272461,210.639999389648,4264400,183.170501708984
2017-02-06,210.119995117188,210.539993286133,209.839996337891,210.199996948242,1345500,182.787857055664
2017-02-07,210.649993896484,210.839996337891,209.990005493164,210.25,1194600,182.831359863281
2017-02-08,210.25,210.610000610352,209.630004882812,210.520004272461,1096100,183.066177368164
2017-02-09,210.520004272461,212.039993286133,210.520004272461,211.720001220703,1237100,184.109619140625
2017-02-10,212.130004882812,212.800003051758,212.009994506836,212.570007324219,1412400,184.848770141602
2017-02-13,213.110000610352,214,213.070007324219,213.699996948242,1756300,185.831436157227
2017-02-14,213.550003051758,214.589996337891,213.160003662109,214.589996337891,2528100,186.605438232422
2017-02-15,214.339996337891,215.889999389648,214.309997558594,215.679992675781,2050200,187.553268432617
2017-02-16,215.740005493164,215.899993896484,214.729995727539,215.509994506836,1920100,187.405395507812
2017-02-17,214.839996337891,215.839996337891,214.789993286133,215.839996337891,1452600,187.692352294922
2017-02-21,216.320007324219,217.320007324219,216.25,217.110000610352,1893000,188.796737670898
