Index,NET.Open,NET.High,NET.Low,NET.Close,NET.Volume,NET.Adjusted
2020-06-05,28.1499996185303,29.4200000762939,27.2900009155273,29.1399993896484,2619000,29.1399993896484
2020-06-08,29.4899997711182,29.4899997711182,28.3449993133545,29.1700000762939,2697800,29.1700000762939
2020-06-09,29,29.0599994659424,28.1399993896484,28.7199993133545,3777100,28.7199993133545
2020-06-10,28.7900009155273,29.6599998474121,28.5200004577637,29.3999996185303,4676800,29.3999996185303
2020-06-11,28.5,29.6499996185303,27.9230003356934,28.5,3928600,28.5
2020-06-12,29.1000003814697,29.5100002288818,28.1000003814697,28.8199996948242,2362000,28.8199996948242
2020-06-15,29,31.9200000762939,28.8099994659424,30.9799995422363,12592200,30.9799995422363
2020-06-16,31.5,31.9799995422363,30.3099994659424,31.6499996185303,6937900,31.6499996185303
2020-06-17,32.0999984741211,36,31.7999992370605,35.7999992370605,16244300,35.7999992370605
2020-06-18,36.1399993896484,37.2900009155273,35.4099998474121,36.7299995422363,9941900,36.7299995422363
2020-06-19,37.75,38.4799995422363,35.7200012207031,36,14810600,36
2020-06-22,36.3199996948242,37.4000015258789,35.8199996948242,37,5596500,37
2020-06-23,37.6599998474121,37.6599998474121,34.8199996948242,35.4000015258789,10991700,35.4000015258789
2020-06-24,35.3899993896484,36.7700004577637,34.0519981384277,35,5203200,35
2020-06-25,35.4199981689453,36.8899993896484,34.6100006103516,36,6054800,36
2020-06-26,36,37.0610008239746,34.8199996948242,35.5299987792969,12429400,35.5299987792969
2020-06-29,35.3400001525879,35.6300010681152,33.2299995422363,35.1100006103516,4920900,35.1100006103516
2020-06-30,35.2799987792969,36.0400009155273,34.8300018310547,35.9500007629395,6741500,35.9500007629395
2020-07-01,35.9500007629395,37.0400009155273,34.9949989318848,36.9300003051758,4724500,36.9300003051758
2020-07-02,37.310001373291,37.3499984741211,36.2799987792969,36.4700012207031,4533300,36.4700012207031
2020-07-06,37.3400001525879,39.2400016784668,37.0699996948242,38.3400001525879,6518200,38.3400001525879
2020-07-07,38.2799987792969,38.3899993896484,37.1800003051758,37.9099998474121,5276100,37.9099998474121
2020-07-08,38.3400001525879,38.5200004577637,37.8600006103516,38.4000015258789,4748300,38.4000015258789
2020-07-09,39.0299987792969,40.1549987792969,37.6599998474121,39.7299995422363,6852200,39.7299995422363
2020-07-10,42.1100006103516,42.5970001220703,39.4099998474121,40.0800018310547,9081600,40.0800018310547
2020-07-13,40.75,41.0900001525879,36.1199989318848,36.75,10564100,36.75
2020-07-14,36.6800003051758,37.5299987792969,34.4599990844727,36.75,8081200,36.75
2020-07-15,36.2099990844727,36.5800018310547,35.1199989318848,36.1199989318848,4727300,36.1199989318848
2020-07-16,35.6100006103516,35.8380012512207,34.5499992370605,35.0999984741211,3540100,35.0999984741211
