Index,COIN.Open,COIN.High,COIN.Low,COIN.Close,COIN.Volume,COIN.Adjusted
2022-09-12,82.5999984741211,84.5800018310547,80.5999984741211,82.5500030517578,12554900,82.5500030517578
2022-09-13,75.3399963378906,78.0899963378906,74.3499984741211,75.25,11235300,75.25
2022-09-14,75.3000030517578,79.1999969482422,74.1100006103516,78.6999969482422,10840700,78.6999969482422
2022-09-15,77.629997253418,82,76.629997253418,77.2300033569336,10950100,77.2300033569336
2022-09-16,75.1500015258789,76.370002746582,73.5999984741211,74,17089000,74
2022-09-19,71.879997253418,72.5400009155273,67,69.9300003051758,13135300,69.9300003051758
2022-09-20,68.0899963378906,69.8000030517578,66.1699981689453,67.9400024414062,7974500,67.9400024414062
2022-09-21,68.9000015258789,72.2399978637695,67.4300003051758,67.6399993896484,12344600,67.6399993896484
2022-09-22,67.4000015258789,68.9800033569336,62.310001373291,62.939998626709,11156900,62.939998626709
2022-09-23,61.560001373291,63.1500015258789,59.4300003051758,61.8800010681152,10932900,61.8800010681152
2022-09-26,62.9799995422363,66.3300018310547,62.1800003051758,62.2799987792969,9562600,62.2799987792969
2022-09-27,65.2900009155273,67.5500030517578,61.8800010681152,63.0499992370605,11860500,63.0499992370605
2022-09-28,62.7999992370605,67.7399978637695,62.7599983215332,67.3099975585938,8482700,67.3099975585938
2022-09-29,64.620002746582,65.0299987792969,60.2599983215332,61.939998626709,11492100,61.939998626709
2022-09-30,61.25,67.5899963378906,61.0699996948242,64.4899978637695,10210300,64.4899978637695
2022-10-03,64.9499969482422,67.8600006103516,61.9199981689453,65.9499969482422,10949200,65.9499969482422
2022-10-04,69.0899963378906,74.629997253418,69.0800018310547,74.5,11881400,74.5
2022-10-05,71.8000030517578,73.4800033569336,69.2799987792969,72.9700012207031,9222700,72.9700012207031
2022-10-06,73.0699996948242,76.2799987792969,71.3399963378906,73.9100036621094,11103700,73.9100036621094
2022-10-07,70.8499984741211,71.0999984741211,65.5,67,11427900,67
2022-10-10,67.5800018310547,69.2600021362305,65.4300003051758,67.0400009155273,7714000,67.0400009155273
2022-10-11,67.6100006103516,72.6900024414062,65.0299987792969,70.1600036621094,17705600,70.1600036621094
2022-10-12,69.7399978637695,71.8499984741211,67.8199996948242,69.9499969482422,8998900,69.9499969482422
2022-10-13,63.6599998474121,69.629997253418,61.060001373291,69.2600021362305,18342000,69.2600021362305
2022-10-14,71.8499984741211,73.7900009155273,63.3800010681152,63.5900001525879,13711600,63.5900001525879
2022-10-17,66.4800033569336,70.9499969482422,66.3399963378906,69.1699981689453,11263300,69.1699981689453
2022-10-18,72.9000015258789,73.9000015258789,65.3000030517578,66.2099990844727,13874700,66.2099990844727
2022-10-19,64.8199996948242,66.8899993896484,62.5499992370605,63.189998626709,8601100,63.189998626709
2022-10-20,63.1399993896484,67.4300003051758,62.7000007629395,63.5900001525879,8938700,63.5900001525879
2022-10-21,63.4000015258789,66.629997253418,61.7000007629395,66.379997253418,9156400,66.379997253418
2022-10-24,67.4000015258789,68.1500015258789,63.6800003051758,66.3899993896484,8111700,66.3899993896484
2022-10-25,67.0100021362305,75.4000015258789,66.9599990844727,75.0500030517578,14446900,75.0500030517578
2022-10-26,75.2799987792969,78.2900009155273,73.0999984741211,73.8099975585938,14102500,73.8099975585938
2022-10-27,74.5100021362305,75.6500015258789,71.5100021362305,72.4700012207031,5967600,72.4700012207031
2022-10-28,72,73.7200012207031,69.3499984741211,72.0699996948242,7372100,72.0699996948242
2022-10-31,72.370002746582,74.6500015258789,66.1500015258789,66.25,10648400,66.25
2022-11-01,69,69.7099990844727,63.1300010681152,63.2900009155273,8238200,63.2900009155273
2022-11-02,63.4000015258789,66.2099990844727,60.5499992370605,60.7099990844727,12700900,60.7099990844727
2022-11-03,59.4000015258789,61.8800010681152,55.75,55.7999992370605,14238800,55.7999992370605
2022-11-04,60.4000015258789,63.4300003051758,56.4000015258789,58.8199996948242,18901400,58.8199996948242
2022-11-07,60,60.9900016784668,54.2200012207031,56.9700012207031,13659100,56.9700012207031
2022-11-08,54.5,58.4500007629395,47.689998626709,50.8300018310547,61868200,50.8300018310547
2022-11-09,47.0900001525879,49.689998626709,44.6199989318848,45.9799995422363,42274200,45.9799995422363
2022-11-10,51.0400009155273,53.9300003051758,49.0200004577637,50.9199981689453,30695400,50.9199981689453
2022-11-11,47.5,58.2900009155273,46.25,57.4599990844727,30584500,57.4599990844727
2022-11-14,55.7000007629395,55.7400016784668,52.5999984741211,53.2200012207031,16150900,53.2200012207031
2022-11-15,55,58,54.5999984741211,55.5299987792969,14805300,55.5299987792969
2022-11-16,52.8300018310547,54.0299987792969,48,48.8300018310547,24054700,48.8300018310547
2022-11-17,46.6699981689453,49.9700012207031,45.1800003051758,48.7900009155273,17974700,48.7900009155273
2022-11-18,48.7999992370605,49,44.310001373291,45.2599983215332,20287300,45.2599983215332
2022-11-21,43.5999984741211,44.6399993896484,40.6100006103516,41.2299995422363,22382000,41.2299995422363
2022-11-22,42.3499984741211,44.4000015258789,41.6100006103516,43.3899993896484,20783100,43.3899993896484
2022-11-23,43.8499984741211,46.1699981689453,42.2099990844727,45.5699996948242,14665800,45.5699996948242
2022-11-25,44.7599983215332,45.2400016784668,43.7000007629395,44.2799987792969,6451500,44.2799987792969
2022-11-28,43.2999992370605,44.9000015258789,42.0200004577637,42.5099983215332,10497900,42.5099983215332
2022-11-29,42.9099998474121,44.6500015258789,42.7000007629395,43.1100006103516,9090600,43.1100006103516
2022-11-30,43.7099990844727,45.8800010681152,41.5099983215332,45.7299995422363,15562700,45.7299995422363
2022-12-01,45.8199996948242,47.189998626709,44.439998626709,45.2700004577637,11579400,45.2700004577637
2022-12-02,43.9700012207031,47.7000007629395,43.7299995422363,47.6699981689453,10372100,47.6699981689453
2022-12-05,47.9799995422363,49.8499984741211,45.6300010681152,46,11228300,46
2022-12-06,45.5999984741211,46.6500015258789,41.7299995422363,42.4099998474121,12156100,42.4099998474121
2022-12-07,41.8800010681152,43.2000007629395,40.5499992370605,41.2599983215332,10824500,41.2599983215332
